task	tier	run_name	limit	green_bias	yellow_bias	tau	score	out_dir
humaneval_instruct	conservative	v13_conservative_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4	9999	0.42	0.34	0.0010	0.006097560975609756	out/prob_gyr_limit9999_qkv_sweep_llada_alltiers_gpu0_humaneval_instruct_limit9999/conservative/humaneval_instruct/v13_conservative_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4
humaneval_instruct	omegaradical	v13_omegaradical_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4	9999	0.01	0.00	0.03	0.012195121951219513	out/prob_gyr_limit9999_qkv_sweep_llada_alltiers_gpu0_humaneval_instruct_limit9999/omegaradical/humaneval_instruct/v13_omegaradical_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4
humaneval_instruct	very_radical	v13_very_radical_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4	9999	0.30	0.22	0.0025	0.012195121951219513	out/prob_gyr_limit9999_qkv_sweep_llada_alltiers_gpu0_humaneval_instruct_limit9999/very_radical/humaneval_instruct/v13_very_radical_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4
